value_ns,percentile,cumulative_count
32111.0,98.613655,2053513
32127.0,98.673538,2054760
32143.0,98.731069,2055958
32159.0,98.787494,2057133
32175.0,98.841807,2058264
32191.0,98.894439,2059360
32207.0,98.942845,2060368
32223.0,98.992212,2061396
32239.0,99.035143,2062290
32255.0,99.080572,2063236
32271.0,99.120238,2064062
32287.0,99.158032,2064849
32303.0,99.193808,2065594
32319.0,99.225070,2066245
32335.0,99.258878,2066949
32351.0,99.291388,2067626
32367.0,99.323131,2068287
32383.0,99.352616,2068901
32399.0,99.377684,2069423
32415.0,99.401215,2069913
32431.0,99.424937,2070407
32447.0,99.445299,2070831
32463.0,99.467149,2071286
32479.0,99.486309,2071685
32495.0,99.504174,2072057
32511.0,99.522566,2072440
32527.0,99.537741,2072756
32543.0,99.551619,2073045
32559.0,99.566650,2073358
32575.0,99.578944,2073614
32591.0,99.591333,2073872
32607.0,99.603627,2074128
32623.0,99.614192,2074348
32639.0,99.625381,2074581
32655.0,99.634361,2074768
32671.0,99.643821,2074965
32687.0,99.651553,2075126
32703.0,99.659717,2075296
32719.0,99.667448,2075457
32735.0,99.674171,2075597
32751.0,99.680366,2075726
32767.0,99.687521,2075875
32799.0,99.700055,2076136
32831.0,99.712012,2076385
32863.0,99.721905,2076591
32895.0,99.731557,2076792
32927.0,99.739817,2076964
32959.0,99.748317,2077141
32991.0,99.755520,2077291
33023.0,99.761379,2077413
33055.0,99.767622,2077543
33087.0,99.773288,2077661
33119.0,99.778571,2077771
33151.0,99.782845,2077860
33183.0,99.787215,2077951
33215.0,99.790528,2078020
33247.0,99.794418,2078101
33279.0,99.798308,2078182
33311.0,99.802102,2078261
33343.0,99.805367,2078329
33375.0,99.808921,2078403
33407.0,99.811850,2078464
33439.0,99.814299,2078515
33471.0,99.816892,2078569
33503.0,99.819293,2078619
33535.0,99.821406,2078663
33567.0,99.823327,2078703
33599.0,99.825104,2078740
33631.0,99.827553,2078791
33663.0,99.829090,2078823
33695.0,99.831155,2078866
33727.0,99.833364,2078912
33759.0,99.834805,2078942
33791.0,99.836629,2078980
33823.0,99.838502,2079019
33855.0,99.840855,2079068
33887.0,99.842584,2079104
33919.0,99.844457,2079143
33951.0,99.846282,2079181
33983.0,99.848011,2079217
34015.0,99.849883,2079256
34047.0,99.851756,2079295
34079.0,99.853293,2079327
34111.0,99.854686,2079356
34143.0,99.856318,2079390
34175.0,99.858431,2079434
34207.0,99.860496,2079477
34239.0,99.862129,2079511
34271.0,99.863522,2079540
34303.0,99.865154,2079574
34335.0,99.866691,2079606
34367.0,99.869044,2079655
34399.0,99.870677,2079689
34431.0,99.872358,2079724
34463.0,99.873942,2079757
34495.0,99.875479,2079789
34527.0,99.877352,2079828
34559.0,99.878937,2079861
34591.0,99.880666,2079897
34623.0,99.881578,2079916
34655.0,99.883067,2079947
34687.0,99.884267,2079972
34719.0,99.885420,2079996
34751.0,99.886716,2080023
34783.0,99.887869,2080047
34815.0,99.889069,2080072
34847.0,99.889790,2080087
34879.0,99.890702,2080106
34911.0,99.891278,2080118
34943.0,99.892335,2080140
34975.0,99.893103,2080156
35007.0,99.894112,2080177
35039.0,99.894928,2080194
35071.0,99.895504,2080206
35103.0,99.896417,2080225
35135.0,99.897041,2080238
35167.0,99.897809,2080254
35199.0,99.898386,2080266
35231.0,99.898722,2080273
35263.0,99.899298,2080285
35295.0,99.900162,2080303
35327.0,99.900451,2080309
35359.0,99.900883,2080318
35391.0,99.901219,2080325
35423.0,99.901747,2080336
35455.0,99.901891,2080339
35487.0,99.902275,2080347
35519.0,99.902612,2080354
35551.0,99.902948,2080361
35583.0,99.903284,2080368
35615.0,99.903572,2080374
35647.0,99.903764,2080378
35679.0,99.903908,2080381
35711.0,99.904052,2080384
35743.0,99.904244,2080388
35775.0,99.904580,2080395
35807.0,99.904773,2080399
35871.0,99.904869,2080401
